	positive_relation	negative_relation
037_S_0588	2108	1285
027_S_0307	2804	2125
123_S_0108	1797	1249
072_S_2037	678	336
128_S_4653	193	245
011_S_2274	398	274
073_S_4614	281	276
029_S_0824	211	183
068_S_2184	264	144
082_S_4090	326	460
067_S_2304	375	538
073_S_4393	955	673
053_S_0919	671	476
035_S_4114	218	200
037_S_1078	229	338
002_S_4473	1268	736
114_S_0173	555	224
027_S_1387	411	331
011_S_0008	399	108
128_S_2123	368	388
041_S_4629	1190	526
006_S_4449	88	115
002_S_1155	246	178
130_S_4405	424	653
007_S_4272	69	111
123_S_4127	209	89
023_S_0926	1470	1301
128_S_2151	383	732
067_S_0059	255	129
136_S_0107	367	611
027_S_0256	367	226
123_S_1300	643	346
941_S_4036	777	357
127_S_4500	448	866
072_S_4465	350	249
009_S_4564	133	147
141_S_0697	2539	1534
009_S_4543	270	217
941_S_4377	631	938
007_S_4387	118	171
141_S_4232	860	536
031_S_4021	744	629
127_S_4604	976	652
011_S_1282	510	403
011_S_4235	121	100
014_S_0563	773	385
153_S_4372	339	407
029_S_4327	137	121
041_S_1425	1102	432
032_S_0214	2005	1128
128_S_2045	400	483
010_S_0419	164	215
022_S_2087	631	364
126_S_4686	363	258
041_S_1260	479	931
031_S_4005	462	224
073_S_0311	578	240
073_S_4311	170	109
023_S_4243	181	227
094_S_4234	291	191
022_S_4266	140	165
068_S_2316	1327	1035
003_S_4350	104	237
014_S_0169	518	426
128_S_0229	119	150
029_S_2376	1107	433
021_S_2124	309	177
007_S_1222	252	180
035_S_4464	442	261
098_S_2079	256	161
032_S_4277	1017	544
035_S_0292	262	264
068_S_4431	185	208
016_S_4121	1263	838
003_S_4081	751	749
116_S_4199	337	359
128_S_2003	430	382
130_S_4415	104	437
073_S_4403	203	247
037_S_0566	436	386
005_S_2390	349	176
099_S_1034	382	428
021_S_2125	214	102
023_S_4122	275	223
067_S_4212	292	278
072_S_4391	411	267
082_S_4224	201	123
141_S_4160	431	517
003_S_0981	412	228
021_S_4335	261	425
027_S_2219	438	242
116_S_0649	438	180
128_S_0522	384	418
137_S_4482	365	196
128_S_4553	361	554
013_S_4395	287	371
016_S_2284	389	758
007_S_0128	1446	797
109_S_2237	2777	1477
019_S_4252	424	323
033_S_1016	551	511
126_S_4458	398	189
072_S_2072	297	208
128_S_1408	164	249
109_S_2278	587	698
073_S_2190	572	400
003_S_4152	259	307
126_S_0605	1397	428
116_S_1271	2014	1009
137_S_4211	215	109
033_S_4179	657	590
036_S_4430	268	162
006_S_0498	399	392
153_S_4077	1954	967
082_S_2099	1321	685
023_S_1190	119	122
126_S_4494	131	203
072_S_4007	705	329
011_S_1080	298	155
018_S_4349	872	380
035_S_2074	149	98
011_S_0002	206	222
130_S_4468	382	359
123_S_2363	1332	985
031_S_0867	275	205
032_S_4386	672	373
033_S_0514	1217	606
014_S_0557	200	245
123_S_2055	149	252
128_S_0230	104	151
099_S_4475	92	113
094_S_4162	870	854
052_S_0989	437	288
035_S_4582	397	244
135_S_4446	195	212
018_S_2155	374	262
098_S_0160	515	227
128_S_2220	445	185
032_S_4429	289	217
035_S_2061	170	143
098_S_0269	213	192
009_S_4530	652	270
099_S_2205	167	265
007_S_4568	275	369
033_S_4508	579	553
094_S_4560	348	539
141_S_4438	2047	1251
013_S_2389	649	663
116_S_0382	135	149
016_S_4353	691	680
127_S_1427	285	164
052_S_1352	304	362
016_S_1326	1174	674
007_S_2058	900	850
057_S_1007	416	423
068_S_2315	455	418
153_S_4621	543	806
098_S_2047	534	222
099_S_4086	656	381
037_S_4001	1975	1265
003_S_4373	160	367
128_S_0135	150	247
041_S_0679	402	446
022_S_4291	257	227
082_S_4208	772	355
003_S_1074	151	167
128_S_0545	341	212
068_S_4424	477	700
094_S_4503	358	182
051_S_1131	428	179
021_S_0276	254	125
127_S_0112	968	294
002_S_4219	1085	442
051_S_1040	310	344
031_S_4203	2101	1569
018_S_0142	274	221
082_S_4428	264	175
007_S_4637	1306	1534
100_S_0047	476	410
009_S_0842	276	147
041_S_4041	325	408
082_S_4244	1962	1227
037_S_4302	127	78
127_S_4197	291	319
073_S_2264	216	88
023_S_4034	1698	1438
098_S_4095	775	574
009_S_1030	309	328
072_S_4394	199	177
002_S_4229	197	320
021_S_2150	1023	390
116_S_4175	411	199
024_S_4169	429	494
123_S_4096	471	336
012_S_4012	165	207
029_S_4307	258	144
002_S_4521	580	415
067_S_4184	613	595
023_S_4241	733	561
031_S_0294	508	248
098_S_0172	146	108
032_S_1169	452	156
029_S_0878	785	397
099_S_0051	509	466
002_S_0685	860	505
012_S_4643	432	513
027_S_0118	1433	566
003_S_4288	781	986
136_S_4269	130	262
098_S_2052	1802	646
037_S_4214	492	839
027_S_0120	196	152
041_S_4051	670	370
003_S_4441	285	176
114_S_4379	554	253
116_S_0361	212	122
035_S_0997	336	430
018_S_2138	459	194
068_S_0210	148	131
031_S_2022	759	291
037_S_0539	739	821
011_S_0021	460	665
003_S_1057	1299	1341
068_S_4067	1864	895
031_S_4590	234	168
036_S_0813	1053	522
126_S_4507	123	112
073_S_2191	749	420
130_S_4589	500	727
068_S_4217	225	411
098_S_4215	460	392
109_S_4455	459	421
137_S_4536	197	138
067_S_0056	287	309
100_S_1226	1412	874
072_S_4226	145	129
014_S_4263	400	246
021_S_4558	1120	580
031_S_0830	264	126
094_S_2367	704	232
009_S_4324	747	345
013_S_4595	190	164
016_S_2031	481	499
137_S_0800	124	137
941_S_4420	113	119
109_S_4531	431	235
116_S_4483	238	98
031_S_4218	759	473
100_S_0069	1303	746
005_S_0602	276	356
094_S_1417	851	239
073_S_4216	1149	740
012_S_0637	866	960
027_S_2245	440	505
141_S_1004	317	169
126_S_1187	289	232
128_S_1043	470	510
035_S_0555	222	171
123_S_0113	2016	1256
014_S_4058	311	143
135_S_4598	276	250
018_S_4597	305	196
023_S_4448	77	80
126_S_2407	213	215
131_S_0123	168	139
016_S_4584	554	540
002_S_0729	221	91
021_S_4419	387	417
005_S_0572	321	199
027_S_0408	415	331
116_S_0657	130	127
023_S_4035	247	345
941_S_1203	833	456
130_S_4352	268	122
033_S_0906	370	358
073_S_0089	249	195
022_S_4196	1397	485
136_S_4189	195	244
033_S_1098	332	256
018_S_0055	1405	807
114_S_2392	802	645
116_S_1243	1553	684
033_S_0920	337	192
068_S_2187	566	277
021_S_4421	96	138
006_S_1130	615	394
052_S_0952	360	268
021_S_0626	1479	872
002_S_2043	347	284
029_S_4385	110	87
037_S_4381	419	380
137_S_4520	531	428
029_S_0843	482	527
941_S_4100	598	274
128_S_2036	258	196
153_S_2109	417	330
094_S_2238	238	379
014_S_0520	191	110
126_S_0709	303	216
135_S_4406	252	243
041_S_4060	534	211
941_S_4187	594	492
099_S_4480	138	173
072_S_4462	751	378
031_S_2233	793	780
137_S_0722	768	394
127_S_4148	348	398
031_S_4029	205	192
018_S_4399	373	317
052_S_2249	952	577
094_S_4282	448	246
072_S_4383	151	282
024_S_2239	206	130
024_S_4223	448	204
029_S_2395	618	379
072_S_1380	1086	620
137_S_4466	358	298
072_S_0315	750	407
011_S_0023	1098	480
006_S_4546	135	127
141_S_2210	438	430
128_S_0863	218	179
130_S_4605	281	208
141_S_1378	171	286
057_S_0934	390	238
116_S_0752	134	195
072_S_4131	866	418
116_S_4338	263	112
005_S_0448	733	461
027_S_0644	356	276
072_S_4206	502	392
032_S_0978	1221	678
036_S_0672	267	152
068_S_2248	1181	883
135_S_4676	2327	1423
131_S_0441	284	87
137_S_1414	340	228
098_S_0667	386	290
072_S_4610	426	729
023_S_0331	328	202
114_S_0416	387	158
037_S_0501	942	720
016_S_4009	349	130
021_S_2100	196	381
073_S_2153	1563	712
031_S_0618	2745	1692
023_S_0061	1553	844
116_S_4043	647	323
068_S_0802	393	268
135_S_4489	240	213
128_S_0770	190	293
130_S_0232	794	545
014_S_0658	352	241
037_S_4432	343	692
127_S_4301	136	232
009_S_4359	135	524
006_S_4357	111	178
003_S_0907	399	249
031_S_4024	143	211
022_S_4444	537	630
041_S_4138	491	210
137_S_4258	894	1458
021_S_4402	248	265
012_S_1212	320	340
005_S_0546	333	363
128_S_4603	850	912
072_S_2070	667	519
002_S_4251	404	495
029_S_1318	785	329
036_S_0945	530	256
141_S_1052	233	397
041_S_1418	367	249
123_S_0106	142	367
068_S_4332	255	474
098_S_4201	446	479
002_S_0413	100	53
130_S_2403	172	309
027_S_0074	355	367
014_S_4039	228	157
128_S_0138	401	416
029_S_4279	364	248
941_S_4365	673	283
109_S_4260	354	454
041_S_4037	353	120
018_S_2133	248	158
037_S_4028	780	476
099_S_4104	1066	651
053_S_4578	207	407
020_S_1288	169	310
019_S_4367	154	206
131_S_0384	232	184
135_S_4309	714	348
129_S_4369	218	270
137_S_0686	270	230
128_S_4571	368	273
099_S_2063	730	600
011_S_4120	1089	378
041_S_0125	870	352
053_S_2357	1859	1072
137_S_0973	2628	1845
021_S_0984	843	261
027_S_0116	480	257
052_S_0951	151	108
014_S_4401	1227	997
036_S_4562	249	468
137_S_0459	410	423
018_S_4696	393	486
023_S_4164	315	422
128_S_2130	581	389
082_S_4339	895	460
022_S_2379	415	279
014_S_4668	1139	387
130_S_0289	624	851
141_S_4456	326	294
009_S_2381	558	302
053_S_4557	269	179
073_S_4300	172	388
041_S_4014	1384	840
007_S_0101	805	241
